Пол,Сумма.баллов,ЕГЭ...матем.,ЕГЭ...рус.яз.,Аттестат.с.отличием.оценка,ГТО.оценка,Сочинение.оценка,Регион,Тип.насел..пункта,Дата.рождения,День.рождения,Месяц.рождения
МУЖСКОЙ,388,90,98,5,0,1,Красноярский край,ГОРОД,24.09.1998,24,9
ЖЕНСКИЙ,351,84,87,0,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,14.02.1997,14,2
ЖЕНСКИЙ,355,94,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.03.2000,25,3
ЖЕНСКИЙ,338,76,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.11.1999,19,11
МУЖСКОЙ,349,82,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.12.1999,12,12
МУЖСКОЙ,366,98,72,0,0,2,Ульяновская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,05.02.1999,5,2
МУЖСКОЙ,383,90,98,5,0,1,Владимирская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,23.12.1998,23,12
ЖЕНСКИЙ,364,80,86,0,0,2,Санкт-Петербург г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.12.1998,22,12
МУЖСКОЙ,368,84,93,0,0,2,Владимирская обл,ГОРОД,13.06.1999,13,6
ЖЕНСКИЙ,373,86,83,5,0,3,Иркутская обл,ГОРОД,23.04.1999,23,4
ЖЕНСКИЙ,399,96,100,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.11.1999,13,11
МУЖСКОЙ,359,86,91,0,0,0,Ханты-Мансийский  АО,ГОРОД,21.05.1999,21,5
ЖЕНСКИЙ,364,86,86,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.08.1999,24,8
МУЖСКОЙ,363,96,72,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.07.1999,30,7
ЖЕНСКИЙ,376,96,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.04.2000,11,4
ЖЕНСКИЙ,373,98,83,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.05.2000,7,5
МУЖСКОЙ,388,96,98,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.02.2000,15,2
ЖЕНСКИЙ,335,90,96,0,0,2,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.06.1999,12,6
МУЖСКОЙ,378,90,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.01.2000,31,1
ЖЕНСКИЙ,364,94,100,5,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.04.1999,10,4
МУЖСКОЙ,375,100,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.08.1999,5,8
ЖЕНСКИЙ,370,94,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.01.1999,9,1
МУЖСКОЙ,382,96,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.09.1999,3,9
ЖЕНСКИЙ,342,80,100,5,0,1,Калмыкия Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,30.01.2000,30,1
ЖЕНСКИЙ,369,88,93,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.09.1999,4,9
МУЖСКОЙ,358,90,83,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.11.1998,20,11
МУЖСКОЙ,344,88,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.05.1999,1,5
МУЖСКОЙ,361,90,72,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.01.1999,20,1
МУЖСКОЙ,370,96,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.12.1998,28,12
ЖЕНСКИЙ,371,82,98,5,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.08.1999,18,8
МУЖСКОЙ,386,99,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.05.2000,30,5
ЖЕНСКИЙ,373,92,93,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.03.2000,16,3
ЖЕНСКИЙ,362,90,81,0,2,2,Ханты-Мансийский  АО,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.09.2000,21,9
МУЖСКОЙ,359,90,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.07.2000,11,7
МУЖСКОЙ,347,84,83,0,2,1,Воронежская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.09.1999,7,9
МУЖСКОЙ,340,98,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.01.1999,11,1
МУЖСКОЙ,357,99,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.12.1999,21,12
МУЖСКОЙ,393,100,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.02.2000,15,2
МУЖСКОЙ,318,78,71,5,0,2,Ставропольский край,ГОРОД,07.09.1999,7,9
МУЖСКОЙ,353,92,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.07.2000,16,7
МУЖСКОЙ,393,100,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.08.1999,23,8
МУЖСКОЙ,375,90,86,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.03.2000,18,3
